,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
59,No.60,辩护人,9.2,586393,韩国,剧情,2013-12-18(韩国),127分钟,https://movie.douban.com/subject/21937445/
60,No.61,饮食男女,9.2,617593,"中国台湾,美国","剧情,家庭","1994-07-02(中国台湾),1994-05-13(戛纳电影节),1994-08-03(美国)",124分钟,https://movie.douban.com/subject/1291818/
61,No.62,搏击俱乐部,9.0,841894,美国,"剧情,动作,悬疑,惊悚","1999-09-10(威尼斯电影节),1999-10-15(美国)",139 分钟,https://movie.douban.com/subject/1292000/
62,No.63,美丽心灵,9.1,765299,美国,"剧情,传记","2001-12-13(加州首映),2002-01-04(美国)",135分钟,https://movie.douban.com/subject/1306029/
63,No.64,本杰明·巴顿奇事,9.0,976599,美国,"剧情,爱情,奇幻",2008-12-25(美国),166分钟,https://movie.douban.com/subject/1485260/
64,No.65,穿条纹睡衣的男孩,9.2,561185,"英国,美国","剧情,战争","2008-08-28(卡内基电影节),2008-09-12(英国),2008-11-07(美国)",94分钟,https://movie.douban.com/subject/3008247/
65,No.66,窃听风暴,9.2,561758,德国,"剧情,悬疑",2006-03-23(德国),137分钟,https://movie.douban.com/subject/1900841/
66,No.67,情书,8.9,1106463,日本,"剧情,爱情","1999-03(中国大陆),2021-05-20(中国大陆重映),1995-03-25(日本)",117分钟,https://movie.douban.com/subject/1292220/
67,No.68,两杆大烟枪,9.1,592104,英国,"剧情,喜剧,犯罪",1998-08-28(英国),107分钟,https://movie.douban.com/subject/1293350/
68,No.69,西西里的美丽传说,8.9,971015,"意大利,美国","剧情,情色,战争",2000-10-27(意大利),109 分钟,https://movie.douban.com/subject/1292402/
69,No.70,音乐之声,9.1,598296,美国,"剧情,爱情,歌舞,传记",1965-03-02(美国),174分钟,https://movie.douban.com/subject/1294408/
70,No.71,看不见的客人,8.8,1258587,西班牙,"剧情,悬疑,惊悚,犯罪","2017-09-15(中国大陆),2016-09-23(奇幻电影节),2017-01-06(西班牙)",106分钟,https://movie.douban.com/subject/26580232/
71,No.72,阿凡达,8.8,1413563,美国,"动作,科幻,冒险","2010-01-04(中国大陆),2021-03-12(中国大陆重映),2022-12-12(中国大陆重映),2009-12-18(美国)",162分钟,https://movie.douban.com/subject/1652587/
72,No.73,拯救大兵瑞恩,9.1,643302,美国,"剧情,战争","1998-11-13(中国大陆),1998-07-24(美国)",169分钟,https://movie.douban.com/subject/1292849/
73,No.74,飞越疯人院,9.1,544318,美国,剧情,1975-11-19(美国),133分钟,https://movie.douban.com/subject/1292224/
74,No.75,哈利·波特与死亡圣器(下),9.0,825154,"美国,英国","奇幻,冒险","2011-08-04(中国大陆),2011-07-15(美国)",130分钟,https://movie.douban.com/subject/3011235/
75,No.76,小鞋子,9.2,409072,伊朗,"剧情,家庭,儿童","1997-02-01(曙光旬国际电影节),1999-01-22(美国)",89分钟,https://movie.douban.com/subject/1303021/
76,No.77,沉默的羔羊,8.9,883743,美国,"剧情,惊悚,犯罪",1991-02-14(美国),118分钟,https://movie.douban.com/subject/1293544/
77,No.78,布达佩斯大饭店,8.9,925754,"美国,德国,英国","剧情,喜剧,冒险","2014-02-06(柏林电影节),2014-03-28(美国)",99分钟,https://movie.douban.com/subject/11525673/
78,No.79,禁闭岛,8.9,969266,美国,"剧情,悬疑,惊悚","2010-02-13(柏林电影节),2010-02-19(美国)",138 分钟,https://movie.douban.com/subject/2334904/
79,No.80,蝴蝶效应,8.9,931962,"美国,加拿大","剧情,科幻,悬疑,惊悚",2004-01-23(美国),113分钟,https://movie.douban.com/subject/1292343/
80,No.81,致命魔术,8.9,851348,"英国,美国","剧情,悬疑,惊悚","2006-10-17(罗马电影节),2006-10-20(美国)",130分钟,https://movie.douban.com/subject/1780330/
81,No.82,功夫,8.8,1123161,"中国大陆,中国香港","喜剧,动作,犯罪,奇幻","2004-12-23(中国大陆/中国香港),2015-01-15(中国大陆3D),2004-09-14(多伦多电影节)",100分钟(3D重映),https://movie.douban.com/subject/1291543/
82,No.83,心灵捕手,8.9,708634,美国,剧情,1997-12-05(美国),126 分钟,https://movie.douban.com/subject/1292656/
83,No.84,海豚湾,9.3,355816,美国,纪录片,2009-07-31(美国),92分钟,https://movie.douban.com/subject/3442220/
84,No.85,哈利·波特与阿兹卡班的囚徒,8.9,722479,"英国,美国","奇幻,冒险","2004-09-10(中国大陆),2004-05-31(英国)",141 分钟,https://movie.douban.com/subject/1291544/
85,No.86,低俗小说,8.9,829305,美国,"剧情,喜剧,犯罪","1994-05-12(戛纳电影节),1994-10-14(美国)",154分钟,https://movie.douban.com/subject/1291832/
86,No.87,春光乍泄,9.0,629138,"中国香港,日本,韩国","剧情,爱情,同性","1997-05-30(中国香港),1997-05-17(戛纳电影节)",96分钟,https://movie.douban.com/subject/1292679/
87,No.88,超脱,9.0,594566,美国,剧情,2011-04-25(翠贝卡电影节),98分钟,https://movie.douban.com/subject/5322596/
88,No.89,美国往事,9.2,409215,"美国,意大利","剧情,犯罪","1984-02-17(波士顿首映),1984-09-28(意大利)",229分钟(导演剪辑版),https://movie.douban.com/subject/1292262/
89,No.90,摩登时代,9.3,299008,美国,"剧情,喜剧,爱情",1936-02-25(美国),87分钟,https://movie.douban.com/subject/1294371/
90,No.91,喜剧之王,8.8,965255,中国香港,"剧情,喜剧,爱情",1999-02-13(中国香港),89分钟,https://movie.douban.com/subject/1302425/
