,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
11,No.109,蝙蝠侠：黑暗骑士崛起,9,715001,"美国,英国","剧情,动作,科幻,惊悚,犯罪","2012-08-27(中国大陆),2012-07-20(美国)",165,https://movie.douban.com/subject/3395373/
12,No.11,楚门的世界,9,1695955,美国,"剧情,科幻",1998-06-05(美国),103,https://movie.douban.com/subject/1292064/
13,No.110,第六感,9,552812,美国,"剧情,悬疑,惊悚",1999-08-06(美国),107,https://movie.douban.com/subject/1297630/
14,No.111,重庆森林,9,805996,中国香港,"剧情,爱情",1994-07-14(中国香港),102,https://movie.douban.com/subject/1291999/
15,No.112,幽灵公主,9,521279,日本,"动画,奇幻,冒险",1997-07-12(日本),134,https://movie.douban.com/subject/1297359/
16,No.113,超能陆战队,9,1005128,美国,"喜剧,动作,科幻,动画,冒险","2015-02-28(中国大陆),2020-07-31(中国大陆重映),2014-10-23(东京电影节),2014-11-07(美国)",102,https://movie.douban.com/subject/11026735/
17,No.114,爱在日落黄昏时,9,556676,"美国,法国","剧情,爱情","2004-02-10(柏林电影节),2004-07-30(美国)",80,https://movie.douban.com/subject/1291990/
18,No.115,菊次郎的夏天,9,592756,日本,"剧情,喜剧","2020-09-25(中国大陆),1999-05-20(戛纳电影节),1999-06-05(日本)",121,https://movie.douban.com/subject/1293359/
19,No.116,甜蜜蜜,9,548414,中国香港,"剧情,爱情","2015-02-13(中国大陆),1996-11-02(中国香港)",118,https://movie.douban.com/subject/1305164/
20,No.117,天使爱美丽,9,951875,"法国,德国","剧情,喜剧,爱情","2001-04-25(法国),2001-08-16(德国)",122,https://movie.douban.com/subject/1292215/
21,No.118,阳光灿烂的日子,9,611486,"中国大陆,中国香港","剧情,爱情","1995-08-21(中国大陆),1995-06-28(中国香港),1994-09-09(威尼斯电影节)",134,https://movie.douban.com/subject/1291875/
22,No.119,借东西的小人阿莉埃蒂,9,550197,日本,"动画,奇幻,冒险",2010-07-17(日本),94,https://movie.douban.com/subject/4202302/
23,No.12,忠犬八公的故事,9,1393972,"美国,英国",剧情,"2009-06-13(西雅图电影节),2010-03-12(英国)",93,https://movie.douban.com/subject/3011091/
24,No.120,小森林,9,423505,日本,剧情,2014-08-30(日本),111,https://movie.douban.com/subject/25814705/
25,No.121,完美的世界,9,313297,美国,"剧情,犯罪",1993-11-24(美国),138,https://movie.douban.com/subject/1300992/
26,No.122,消失的爱人,9,939244,美国,"剧情,悬疑,惊悚,犯罪","2014-09-26(纽约电影节),2014-10-03(美国)",149,https://movie.douban.com/subject/21318488/
27,No.123,无人知晓,9,317340,日本,剧情,"2004-05-13(戛纳电影节),2004-08-07(日本)",141,https://movie.douban.com/subject/1292337/
28,No.124,倩女幽魂,9,733655,中国香港,"爱情,奇幻,武侠,古装","2011-04-30(中国大陆),1987-07-18(中国香港)",98,https://movie.douban.com/subject/1297447/
29,No.125,寄生虫,9,1361583,韩国,剧情,"2019-05-21(戛纳电影节),2019-05-30(韩国)",132,https://movie.douban.com/subject/27010768/
30,No.126,时空恋旅人,9,664739,英国,"喜剧,爱情,奇幻",2013-09-04(英国),123,https://movie.douban.com/subject/10577869/
31,No.127,侧耳倾听,9,460012,日本,"剧情,爱情,动画",1995-07-15(日本),111,https://movie.douban.com/subject/1297052/
32,No.128,小森林,9,377825,日本,剧情,2015-02-14(日本),120,https://movie.douban.com/subject/25814707/
33,No.129,幸福终点站,9,566335,美国,"剧情,喜剧,爱情","2005-01-14(中国大陆),2004-06-18(美国)",128,https://movie.douban.com/subject/1292274/
34,No.13,海上钢琴师,9,1670413,意大利,"剧情,音乐","2019-11-15(中国大陆),1998-10-28(意大利)",165,https://movie.douban.com/subject/1292001/
35,No.130,驯龙高手,9,751691,美国,"动画,奇幻,冒险","2010-05-14(中国大陆),2010-03-18(俄罗斯),2010-03-26(美国)",98,https://movie.douban.com/subject/2353023/
36,No.131,一个叫欧维的男人决定去死,9,478216,瑞典,剧情,2015-12-25(瑞典),116,https://movie.douban.com/subject/26628357/
37,No.132,教父3,9,371808,美国,"剧情,犯罪",1990-12-25(美国),162,https://movie.douban.com/subject/1294240/
38,No.133,未麻的部屋,9,329943,日本,"动画,惊悚,奇幻","1997-08-05(加拿大奇幻电影节),1998-02-28(日本)",81,https://movie.douban.com/subject/1395091/
